ENSMUSG00000001988.8	Npas1
ENSMUSG00000001995.8	Sipa1l2
ENSMUSG00000001998.12	Ap4e1
ENSMUSG00000001999.12	Blvra
ENSMUSG00000002006.9	Pdzd4
ENSMUSG00000002007.5	Srpk3
ENSMUSG00000002010.14	Idh3g
ENSMUSG00000002012.10	Pnck
ENSMUSG00000002014.9	Ssr4
ENSMUSG00000002015.5	Bcap31
ENSMUSG00000002017.9	Fam98a
ENSMUSG00000002020.12	Ltbp2
ENSMUSG00000002028.9	Kmt2a
ENSMUSG00000002031.8	Ift46
ENSMUSG00000002032.13	Tmem25
ENSMUSG00000002033.10	Cd3g
ENSMUSG00000002043.13	Trappc6a
ENSMUSG00000002052.6	Supt6
ENSMUSG00000002055.6	Spag5
ENSMUSG00000002057.4	Foxn1
ENSMUSG00000002058.10	Unc119
ENSMUSG00000002059.14	Rab34
ENSMUSG00000002064.10	Sdf2
ENSMUSG00000002068.13	Ccne1
ENSMUSG00000002076.8	Hsf2bp
ENSMUSG00000002083.9	Bbc3
ENSMUSG00000002100.12	Mybpc3
ENSMUSG00000002102.12	Psmc3
ENSMUSG00000002103.12	Acp2
ENSMUSG00000002104.8	Rapsn
ENSMUSG00000002105.12	Slc39a13
ENSMUSG00000002107.15	Celf2
ENSMUSG00000002108.7	Nr1h3
ENSMUSG00000002109.11	Ddb2
ENSMUSG00000002111.8	Spi1
ENSMUSG00000002129.8	Sf3a1
ENSMUSG00000002147.15	Stat6
ENSMUSG00000002190.10	Clgn
ENSMUSG00000002204.8	Napsa
ENSMUSG00000002205.12	Vrk3
ENSMUSG00000002210.8	Smg9
ENSMUSG00000002221.8	Paxip1
ENSMUSG00000002222.11	Rmnd5a
ENSMUSG00000002227.12	Mov10
ENSMUSG00000002228.7	Ppm1j
ENSMUSG00000002233.10	Rhoc
ENSMUSG00000002240.9	Prr27
ENSMUSG00000002249.14	Tead3
ENSMUSG00000002250.12	Ppard
ENSMUSG00000002257.7	Def6
ENSMUSG00000002265.12	Peg3
ENSMUSG00000002266.12	Zim1
ENSMUSG00000002274.9	Metrn
ENSMUSG00000002279.15	Lmf1
ENSMUSG00000002280.7	Narfl
ENSMUSG00000002289.12	Angptl4
ENSMUSG00000002297.12	Dbf4
ENSMUSG00000002307.12	Daxx
ENSMUSG00000002308.12	Cd320
ENSMUSG00000002319.12	Ipo4
ENSMUSG00000002320.12	Tm9sf1
ENSMUSG00000002324.7	Rec8
ENSMUSG00000002325.11	Irf9
ENSMUSG00000002326.5	Gmpr2
ENSMUSG00000002329.6	Mdp1
ENSMUSG00000002332.12	Dhrs1
ENSMUSG00000002341.8	Ncan
ENSMUSG00000002342.14	Tmem161a
ENSMUSG00000002343.8	Armc6
ENSMUSG00000002345.14	2310045N01Rik
ENSMUSG00000002346.13	Slc25a42
ENSMUSG00000002365.9	Snx9
ENSMUSG00000002372.8	Ranbp3
ENSMUSG00000002379.6	Ndufa11
ENSMUSG00000002384.2	Bmp8b
ENSMUSG00000002393.11	Nr2f6
ENSMUSG00000002395.11	Use1
ENSMUSG00000002396.8	Ocel1
ENSMUSG00000002409.14	Dyrk1b
ENSMUSG00000002413.12	Braf
ENSMUSG00000002416.10	Ndufb2
ENSMUSG00000002428.9	Hltf
ENSMUSG00000002455.11	Prpf6
ENSMUSG00000002458.10	Rgs19
ENSMUSG00000002459.14	Rgs20
ENSMUSG00000002475.12	Abhd3
ENSMUSG00000002477.4	Snrpd1
ENSMUSG00000002486.12	Tchp
